               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 126,            0.046133,            0.022707,           0.0045548,             0.94499,             0.88635,             0.94573,             0.45855,            0.042292,            0.017528,           0.0045903,           0.0005875,           0.0005875,           0.0005875
                 127,             0.04708,            0.022188,           0.0046801,             0.94702,             0.89882,             0.94292,             0.45482,            0.042407,            0.017768,            0.004299,           0.0005842,           0.0005842,           0.0005842
                 128,            0.045785,            0.021901,           0.0046205,             0.92471,             0.90884,             0.93961,             0.44941,            0.042415,            0.017838,           0.0052829,           0.0005809,           0.0005809,           0.0005809
                 129,            0.044644,             0.02232,           0.0045105,             0.95313,             0.88701,             0.94499,             0.45292,            0.041907,            0.017633,           0.0042521,           0.0005776,           0.0005776,           0.0005776
                 130,            0.045213,            0.023062,           0.0046302,             0.94833,             0.88489,             0.92567,             0.46626,            0.041268,            0.017747,           0.0037966,           0.0005743,           0.0005743,           0.0005743
                 131,            0.046233,            0.023304,           0.0041716,             0.93382,             0.89043,             0.93667,             0.45036,            0.042025,            0.018215,           0.0042455,            0.000571,            0.000571,            0.000571
                 132,             0.04633,            0.021579,           0.0039297,             0.94262,             0.90677,             0.94428,             0.45438,            0.041629,            0.017738,           0.0047038,           0.0005677,           0.0005677,           0.0005677
                 133,             0.04642,            0.022561,           0.0050256,             0.94312,             0.89139,             0.92813,             0.45562,            0.042388,            0.017781,           0.0046748,           0.0005644,           0.0005644,           0.0005644
                 134,            0.044978,            0.022304,           0.0042264,             0.94426,             0.90252,             0.93875,             0.45583,            0.041676,            0.017652,           0.0043294,           0.0005611,           0.0005611,           0.0005611
                 135,            0.043698,            0.021398,           0.0041386,             0.95011,             0.90947,             0.94923,             0.46582,            0.040958,            0.017447,           0.0039974,           0.0005578,           0.0005578,           0.0005578
